"","salary","Age","MP","FG","X3P","FT","DRB","AST","PTS","PER","TSpct","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","OBPM","DBPM","VORP","Weight","Height","possGain","possLost","FGM","X3M","FTM","PositionC","PositionPF","PositionPG","PositionSF","PositionSG","starter1"
"Amir Coffey",15.0378325809584,-0.35311371136701,0.295469843628499,1.41098697371026,0.23247455303542,0.145182009844498,0.204794412646013,0.154150679827258,2.30258509299405,2.63905732961526,0.468752847344083,0.0747235461959366,0.26891196976979,0.227713247004275,0.209554707252313,0.197359434158495,0.0263173083173734,0.148420005118273,-0.61592233175754,0.325019742889425,0.107977212513807,0.0439684681635407,-0.00187796914123819,0.159332038569256,-0.250853539978775,0.189098087323485,0.158224005214894,-0.824107224521896,-0.311941386972841,0.0892517567353673,0.0625203569813339,0,0,0,0,1,0
"Andre Drummond",14.9847403532403,0.617159384625346,0.119555408041994,1.48160454092422,-1.30288563998475,0.117783035656383,0.447014111021037,0.154150679827258,2.18605127673809,3.09104245335832,0.453620149995211,0.574285977683217,0.662375521893192,0.693147180559945,0.246987881625226,0.399386062031782,0.131028262406404,0.314810739840034,-0.0348956456960742,0.309188277672745,1.73398700095702,0.126935995312433,1.00771824118822,0.197359434158495,2.56789768787433,1.10439639235144,0.547295303547382,0.815181174997995,-0.754498625633817,-1.44137254518068,0.279584862219162,1,0,0,0,0,0
"Andrew Wiggins",17.3305356075637,0.132022836629168,1.34162558224903,2.01490302054226,1.10982323476123,0.189241999638528,0.262364264467491,0.185403223331363,2.90142159408275,2.77258872223978,0.444685821261446,0.16273442351865,0.262576151320705,0.254701391721922,0.19955462391773,0.255346691808845,0.0676586484738149,0.165514438477573,0.709544795820179,0.298492988555997,2.03886383629012,0.292871049610217,0.0702360458822945,0.212174519943636,-0.781922611893128,0.189098087323485,0.346624608085231,0.442615629652565,1.08948986878692,0.754740583655385,0.327212911208416,0,0,0,1,0,1
"Anfernee Simons",16.9210577167255,-0.838250259363189,0.45354584190904,1.97408102602201,2.09684050170277,0.171850256926659,0.182321556793955,0.308301359654517,2.90690105984738,2.79116510781272,0.459321780898875,0.0666913744986721,0.210390398150134,0.171448408418137,0.374309940328369,0.151549898127201,0.0132452267500207,0.213497174262404,1.01821522279033,0.309188277672745,-1.51803257592941,0.956611266801354,-1.94895637477662,0.143706720666175,-1.43554608501849,-1.03129965271379,0.14595391262308,0.591641847790737,1.20012917845216,1.68642494134341,0.0625203569813339,0,0,0,0,1,1
"Anthony Davis",17.4525892205147,0.617159384625346,0.0727638148009654,2.33214389523559,-0.97387988433757,0.377294231141468,0.503526321284379,0.252342706006472,3.18635263316264,3.21486780347066,0.456158222423682,0.299465818873843,0.473784352085642,0.455103089199936,0.26283607386525,0.269332933783584,0.173953307123438,0.170586300575534,1.43582815339701,0.340604473906123,0.616105271402312,1.24699761182248,0.863490211141156,0.255346691808845,1.50575954404562,1.10439639235144,0.634306680537012,1.03872050220525,1.31076848811741,-0.443139304800648,0.437213806422745,1,0,0,0,0,1
"Anthony Edwards",16.1888709330074,-1.32338680735937,1.53496679889597,2.15176220325946,1.98717191648704,0.279838894990755,0.303465940153043,0.301475394584117,3.10458667846607,2.86220088092947,0.444685821261446,0.106222213255307,0.295912571588296,0.251738426591265,0.30441250071099,0.31015492830384,0.0582689081239758,0.218331994316988,1.30872856582106,0.298492988555997,1.02260771851312,0.832159976078016,-0.29033402923537,0.255346691808845,0.361918466076248,-0.726200217704471,0.356674943938732,1.3367729384816,1.90084480633204,2.15226712018742,0.2295744416445,0,0,0,0,1,1
"Anthony Gill",14.423148868569,0.859727658623436,-1.21983679613888,0.8754687373539,-0.97387988433757,0.099090902644231,0.10354067894084,0.0540672212702758,1.62924053973028,2.75366071235426,0.519983561550756,0.296265816143172,0.289746056672632,0.328809363875644,0.156776501904926,0.0870113769896297,0.0645385211375712,0.215111379616945,-0.870121506909431,0.26013212068355,-1.2131557405963,-0.0804828225597977,-0.939360164447165,0.10354067894084,0.566175801427922,0.189098087323485,0.158224005214894,-1.04764655172915,-1.27081540407162,-1.24172589710467,0.0625203569813339,0,1,0,0,0,0
"Armoni Brooks",14.3766326394412,-0.5956819853651,-0.697856676816674,1.02961941718116,0.23247455303542,0.0307716586667537,0.127833371509885,0.0969922659873097,1.84054963339749,2.24070968927596,0.394067063155795,0.10233871322891,0.262576151320705,0.227713247004275,0.192831909522853,0.255346691808845,0.0392207131532813,0.153579087928301,-0.506979828121015,0.19074012725955,-1.0099045170409,-0.910158094048719,-0.939360164447165,0.0702042586732486,-0.863625546033797,-1.03129965271379,0.14595391262308,-0.898620333590982,-0.348821156861256,0.688191700963383,0.0317486983145803,0,0,0,0,1,0
"Ayo Dosunmu",14.2624489684457,-0.838250259363189,1.0412537417663,1.52605630349505,-0.315868373043212,0.0703807967617996,0.197359434158495,0.266628663253949,2.28238238567653,2.50143595173921,0.467500499027617,0.0585941642660528,0.241162056816888,0.196846599023748,0.290744861982327,0.226773319364788,0.0392207131532813,0.276115436080316,-0.924592758727693,0.29310213992112,-0.0952740110415943,-0.619771749027597,-0.0739919841647703,0.10354067894084,-0.659368210682123,-0.726200217704471,0.205852054204149,0.517128738721651,-0.4594604665265,-0.443139304800648,0.0923733201310151,0,0,0,0,1,1
"Bam Adebayo",17.2283675019801,-0.35311371136701,0.651278058508224,2.11625551480255,-1.30288563998475,0.391478866133424,0.525266307920785,0.273695830477041,3.00071981506503,3.1267605359604,0.474991170756775,0.318453731118535,0.541747534104577,0.511588691334493,0.305919660001562,0.336472236621213,0.0831149067105066,0.253090627682162,1.05452939066917,0.390866308687012,2.14048944806783,0.873643739652462,1.51251634635295,0.303465940153043,1.58746247818629,0.799296957342123,0.505094949057006,1.93287781103428,0.425654010795453,-1.37482366248867,0.394654192003949,1,0,0,0,0,1
