"","name","player_id","team_2021","Position","Age","Game_played","Game_started","MP","FG","FGA","FGpct","X3P","X3PA","X3Ppct","X2P","X2PA","X2Ppct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TSpct","X3PAr","FTr","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WSper48","OBPM","DBPM","BPM","VORP","salary","team_2022","Weight","Height"
"151","Jae'Sean Tate","tateja01","HOU","PF",26,78,77,26.4,4.7,9.3,0.498,0.8,2.6,0.312,3.8,6.8,0.569,1.7,2.4,0.707,1.7,3.7,5.4,2.8,0.9,0.5,1.8,3.7,11.8,14.3,0.567,0.277,0.252,7.2,15.3,11.2,16.9,1.7,1.8,14.6,19.6,1.9,1.1,3,0.071,-1.3,-0.5,-1.8,0.1,7065217,"HOU",230,76
"152","Jae Crowder","crowdja01","PHO","PF",31,67,67,28.1,3.2,8.1,0.399,1.9,5.4,0.348,1.3,2.7,0.503,1.1,1.3,0.789,0.4,4.8,5.3,1.9,1.4,0.4,0.8,2.6,9.4,11.3,0.541,0.671,0.165,1.8,18,10.1,8.3,2.4,1.4,8.6,14.6,0.9,3.4,4.3,0.11,-1.3,2.4,1.1,1.5,10183800,"PHO",235,78
"153","Jakob Poeltl","poeltja01","SAS","C",26,68,67,29,6,9.8,0.618,0,0,1,6,9.7,0.618,1.4,2.8,0.495,3.9,5.5,9.3,2.8,0.7,1.7,1.6,3.1,13.5,20.8,0.613,0.002,0.287,13.9,20,16.9,14,1.1,5,12.7,18.3,4.4,2.5,6.9,0.168,0.9,0.7,1.6,1.7,9398148,"SAS",245,85
"154","Jalen Brunson","brunsja01","DAL","SG",25,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0,1.6,1.9,16.3,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,4.9,2.7,7.5,0.143,0.9,0,0.9,1.9,24186047,"NYK",190,73
"155","Jalen Green","greenja05","HOU","SG",19,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,1.5,17.3,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,9441720,"HOU",186,76
"156","Jalen Johnson","johnsja05","ATL","PF",20,22,0,5.5,1,1.9,0.537,0.1,0.6,0.231,0.9,1.3,0.679,0.2,0.3,0.714,0.1,1.1,1.2,0.1,0.1,0.1,0.4,0.4,2.4,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,2792520,"ATL",219,80
"157","Jalen McDaniels","mcdanja01","CHO","SF",24,55,2,16.3,2.2,4.6,0.484,0.7,2,0.38,1.5,2.7,0.562,1,1.3,0.736,0.7,2.4,3.1,1.1,0.5,0.4,0.7,1.7,6.2,12.7,0.595,0.425,0.283,4.3,16,10.1,8.7,1.4,2.3,11.2,15.3,1,0.7,1.7,0.093,-1.9,-0.4,-2.3,-0.1,1930681,"CHO",205,81
"158","Jalen Smith","smithja04","TOT","PF",21,51,8,18.1,3.5,6.9,0.503,0.8,2.4,0.328,2.7,4.5,0.596,1.5,2,0.765,2,4,6,0.5,0.3,0.8,0.8,1.9,9.2,18.4,0.595,0.349,0.291,12,24.5,18.2,3.9,0.8,3.9,9.6,20.3,1.7,1.1,2.8,0.145,0.9,-1.4,-0.5,0.3,4670160,"IND",215,82
"159","Jalen Suggs","suggsja01","ORL","PG",20,48,45,27.2,4.1,11.4,0.361,0.9,4.1,0.214,3.3,7.3,0.443,2.6,3.4,0.773,0.5,3,3.6,4.4,1.2,0.4,3,3,11.8,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,6922320,"ORL",205,77
"160","James Bouknight","bouknja01","CHO","SG",21,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1,3,0.348,0.9,1,0.871,0.7,1,1.7,0.8,0.2,0,0.5,0.9,4.6,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0,0.001,-3.4,-3.7,-7.1,-0.4,4362240,"CHO",190,76
